property_name,property_id,link
"3 BHK Flat in Sector 49, Gurgaon",S90733906,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-sector-49-gurgaon-1500-sq-ft-spid-S90733906
"2 BHK Flat in Sector 66, Gurgaon",G88761360,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-uptown-sector-66-gurgaon-1257-sq-ft-spid-G88761360
"3 BHK Flat in Sector 106, Gurgaon",Y88856818,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-1855-sq-ft-spid-Y88856818
"3 BHK Flat in Sector 113, Gurgaon",B89132667,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-mansion-sector-113-gurgaon-2080-sq-ft-spid-B89132667
"2 BHK Flat in Sector 47, Gurgaon",W89543958,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-uniworld-gardens-2-sector-47-gurgaon-973-sq-ft-spid-W89543958
"3 BHK Flat in Sector 109, Gurgaon",T88784568,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chintels-serenity-sector-109-gurgaon-2375-sq-ft-spid-T88784568
"3 BHK Flat in Sector 61, Gurgaon",L85772750,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1626-sq-ft-spid-L85772750
"3 BHK Flat in Sector 82A, Gurgaon",G79629225,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-primus-sector-82a-gurgaon-1818-sq-ft-r3-spid-G79629225
"3 BHK Flat in Sector 109, Gurgaon",W90050998,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chintels-serenity-sector-109-gurgaon-1955-sq-ft-spid-W90050998
"3 BHK Flat in Sector 59, Gurgaon",A88119268,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2595-sq-ft-spid-A88119268
"4 BHK Flat in Sector 85, Gurgaon",Q88808396,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orris-aster-court-premier-sector-85-gurgaon-2560-sq-ft-spid-Q88808396
"3 BHK Flat in Sector 53, Gurgaon",B90707724,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-parsvnath-exotica-sector-53-gurgaon-2650-sq-ft-spid-B90707724
"3 BHK Flat in Sector 67, Gurgaon",H88565626,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-spa-next-sector-67-gurgaon-1975-sq-ft-spid-H88565626
"3 BHK Flat in Sector 77, Gurgaon",L87003318,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-premier-sector-77-gurgaon-2020-sq-ft-spid-L87003318
"3 BHK Flat in Sector 66, Gurgaon",B90308704,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-uptown-sector-66-gurgaon-1872-sq-ft-spid-B90308704
"3 BHK Flat in Nirvana Country, Gurgaon",I90592562,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1877-sq-ft-spid-I90592562
"3 BHK Flat in Sector 83, Gurgaon",G90279014,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1720-sq-ft-spid-G90279014
"3 BHK Flat in Sector 102, Gurgaon",W90051770,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-W90051770
"3 BHK Flat in Sector 36A, Gurgaon",U88481722,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-max-estate-360-sector-36a-gurgaon-2611-sq-ft-spid-U88481722
"4 BHK Flat in Sector 69, Gurgaon",N90566922,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tulip-purple-sector-69-gurgaon-2400-sq-ft-spid-N90566922
"4 BHK Flat in Sector 69, Gurgaon",N88629310,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-tulip-purple-sector-69-gurgaon-2400-sq-ft-spid-N88629310
"3 BHK Flat in Sector 102, Gurgaon",P88997138,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2000-sq-ft-spid-P88997138
"4 BHK Flat in Sector 79, Gurgaon",X89903556,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-m3m-golf-hills-sector-79-gurgaon-2685-sq-ft-spid-X89903556
"3 BHK Flat in Sector 37C, Gurgaon",B85948462,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ild-greens-sector-37c-gurgaon-2762-sq-ft-spid-B85948462
"3 BHK Flat in Nirvana Country, Gurgaon",T90586134,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1629-sq-ft-spid-T90586134
"3 BHK Flat in Sector 62, Gurgaon",V89180179,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pivotal-paradise-sector-62-gurgaon-1050-sq-ft-spid-V89180179
"3 BHK Flat in Sector 92, Gurgaon",R88084030,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-sanskruti-sector-92-gurgaon-1920-sq-ft-spid-R88084030
"3 BHK Flat in Sector 61, Gurgaon",U88461360,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1712-sq-ft-spid-U88461360
"3 BHK Flat in Sector 104, Gurgaon",P90605496,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1389-sq-ft-spid-P90605496
"2 BHK Flat in Nirvana Country, Gurgaon",H88622174,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1490-sq-ft-spid-H88622174
"3 BHK Flat in Nirvana Country, Gurgaon",G90589190,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1815-sq-ft-spid-G90589190
"3 BHK Flat in Sector 59, Gurgaon",Z80272143,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2095-sq-ft-r2-spid-Z80272143
"3 BHK Flat in Sector 80, Gurgaon",P90068560,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eldeco-fairway-reserve-sector-80-gurgaon-2175-sq-ft-spid-P90068560
"3 BHK Flat in Sector 102, Gurgaon",U90050796,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-gurgaon-greens-sector-102-gurgaon-1650-sq-ft-spid-U90050796
"4 BHK Flat in DLF Phase 5, Gurgaon",S88122882,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-grove-dlf-phase-5-gurgaon-2450-sq-ft-spid-S88122882
"3 BHK Flat in Sector 81, Gurgaon",L89395321,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2092-sq-ft-spid-L89395321
